"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","invalidBuilderDataFailsBeforeDatabaseSetup()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","invalidBuilderDataFailsBeforeDatabaseSetup"
"","4","builderStatesOnlyWhatTestCaresAbout()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","builderStatesOnlyWhatTestCaresAbout"
"","86","factoryPersistsBuilderData()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","factoryPersistsBuilderData"
"Unexpected exceptions appear as broken tests","83","testDefectExample()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","testDefectExample"
"Failed assertion should appear as a product defect","15","productDefectExample()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","productDefectExample"
"Message matches categories.json flaky regex","11","flakyFailureExample()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","flakyFailureExample"
"","80","flywaySeedsReferenceDataButNoOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders"
"","167","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","countsOnlyThisTestsOrders"
"","79","builderUsesSensibleDefaults()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","builderUsesSensibleDefaults"
"","1","refundedBuilderCreatesRefundedOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","refundedBuilderCreatesRefundedOrder"
"Demonstrates a passing test with steps and attachments","11","successfulScenario()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","successfulScenario"
"","115","resetMakesTestsIndependent()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","resetMakesTestsIndependent"
