"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","refundedBuilderCreatesRefundedOrder()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","refundedBuilderCreatesRefundedOrder"
"Demonstrates successful business rule validation","74","businessValidationExample()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","businessValidationExample"
"Unexpected exceptions appear as broken tests","33","testDefectExample()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","testDefectExample"
"Demonstrates a passing test with steps and attachments","11","successfulScenario()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","successfulScenario"
"Demonstrates a successful dashboard metric","13","dashboardExample()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","dashboardExample"
"Demonstrates multiple attachments in a passing test","12","attachmentExample()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","attachmentExample"
"","6","builderStatesOnlyWhatTestCaresAbout()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","builderStatesOnlyWhatTestCaresAbout"
"","111","resetMakesTestsIndependent()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","resetMakesTestsIndependent"
"Shows how metadata appears in the Allure report","4","metadataExample()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","metadataExample"
"","81","flywaySeedsReferenceDataButNoOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders"
"Demonstrates detailed step reporting","9","stepReportingExample()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","stepReportingExample"
"","80","factoryPersistsBuilderData()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","factoryPersistsBuilderData"
"Message matches categories.json flaky regex","14","flakyFailureExample()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","flakyFailureExample"
"","107","builderUsesSensibleDefaults()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","builderUsesSensibleDefaults"
"","180","countsOnlyThisTestsOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","countsOnlyThisTestsOrders"
"","4","invalidBuilderDataFailsBeforeDatabaseSetup()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","invalidBuilderDataFailsBeforeDatabaseSetup"
"Failed assertion should appear as a product defect","19","productDefectExample()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","productDefectExample"
