"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","factoryPersistsBuilderData()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","factoryPersistsBuilderData"
"","17","invalidBuilderDataFailsBeforeDatabaseSetup()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","invalidBuilderDataFailsBeforeDatabaseSetup"
"","11","builderStatesOnlyWhatTestCaresAbout()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","builderStatesOnlyWhatTestCaresAbout"
"Failed assertion should appear as a product defect","10","productDefectExample()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","productDefectExample"
"Unexpected exceptions appear as broken tests","13","testDefectExample()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","testDefectExample"
"Demonstrates detailed step reporting","9","stepReportingExample()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","stepReportingExample"
"Demonstrates a successful dashboard metric","5","dashboardExample()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","dashboardExample"
"Shows how metadata appears in the Allure report","3","metadataExample()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","metadataExample"
"","114","resetMakesTestsIndependent()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","resetMakesTestsIndependent"
"Demonstrates successful business rule validation","76","businessValidationExample()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","businessValidationExample"
"Demonstrates a passing test with steps and attachments","5","successfulScenario()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","successfulScenario"
"","181","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","countsOnlyThisTestsOrders"
"Message matches categories.json flaky regex","6","flakyFailureExample()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","flakyFailureExample"
"Demonstrates multiple attachments in a passing test","1","attachmentExample()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","attachmentExample"
"","102","builderUsesSensibleDefaults()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","builderUsesSensibleDefaults"
"","9","refundedBuilderCreatesRefundedOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","refundedBuilderCreatesRefundedOrder"
"","96","flywaySeedsReferenceDataButNoOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders"
